patient_id	mirna_feature_000	mirna_feature_001	mirna_feature_002	mirna_feature_003	mirna_feature_004	mirna_feature_005	mirna_feature_006	mirna_feature_007	mirna_feature_008	mirna_feature_009	mirna_feature_010	mirna_feature_011	mirna_feature_012	mirna_feature_013	mirna_feature_014	mirna_feature_015	mirna_feature_016	mirna_feature_017	mirna_feature_018	mirna_feature_019	mirna_feature_020	mirna_feature_021	mirna_feature_022	mirna_feature_023
SYN-00022	6.5915165	4.2704306	3.0450106	1.1790843	4.833193	3.5427098	5.1025186	4.880641	2.7599897	1.3463142	4.656204	4.2868514	5.096286	5.6877723	3.9233115	0.40675807	4.868666	4.368679	5.5273438	4.5641246	2.818623	1.3443289	3.7812214	4.895689
SYN-00023	3.9819756	3.948042	5.050132	2.2786918	2.9471288	2.4210854	4.456248	3.725912	5.9009657	2.8783493	2.7315335	2.376184	4.1649613	4.4746385	5.9147015	1.8715906	4.396061	1.9186518	4.897754	3.6744695	5.365015	2.8753986	3.270987	1.9167929
SYN-00024	4.780573	3.459548	4.8606057	4.938121	5.1592393	5.057769	4.268065	3.1997616	6.003916	3.1931686	3.8346138	4.173126	3.7572525	2.917632	6.2867684	4.212348	3.4341412	4.26243	4.7102685	4.0877304	5.434376	3.7833598	3.3366444	4.003947
SYN-00025	2.5886304	3.265347	4.252093	2.4798672	4.6516194	5.218029	2.3577933	2.807304	4.6547894	3.0763795	4.992979	4.1515775	2.893381	3.2784226	4.453086	3.2414627	4.7794695	4.5488877	3.828175	3.1543713	4.75009	3.0117896	4.2536077	4.8538737
SYN-00026	4.683014	3.9099555	4.064418	4.79722	4.234205	1.9304047	4.9175153	3.9355931	4.0926566	4.149239	3.149722	1.706106	3.7149382	3.7343638	4.478757	4.7080274	4.2111344	2.0591383	3.690649	4.350888	3.5781536	4.274866	3.342567	2.012445
SYN-00027																								
SYN-00028																								
SYN-00029	2.34427	5.1741858	5.100042	4.6484995	2.8283896	4.3409214	2.9870458	5.0617933	4.6969624	4.7114844	2.9328713	4.8824596	3.5818896	5.182686	3.7461913	2.783873	2.7279086	4.7766643	3.042106	4.668351	3.6916358	4.438051	3.3069906	5.2878942
SYN-00030	4.6532464	3.7191653	5.2243357	1.728858	3.2294385	4.313617	4.146155	3.7810018	4.016244	3.6158292	2.5722961	3.333775	4.604105	3.1788807	4.737948	3.1170654	1.8074503	5.026284	3.826894	4.4160824	5.155351	3.1081753	2.811872	3.5969212
SYN-00031	3.9121206	4.5949435	4.203034	5.815955	2.6128829	4.9837513	3.94066	3.9646938	3.7325103	5.0449204	2.5722299	4.908757	3.005008	4.4355793	3.9923308	4.791962	2.1701536	3.4243345	3.9279444	4.084514	4.846998	5.785083	3.734981	4.356097
SYN-00032	3.6871717	4.9920845	4.169457	3.6382449	5.341937	4.568117	4.760579	5.201615	4.076161	4.5056925	5.209859	5.065385	3.8267717	5.162925	2.9632668	4.655914	6.5671043	4.197883	4.505734	5.484758	4.8556294	5.3854594	5.641781	5.0913696
SYN-00033	4.58709	3.6917615	4.288449	2.7666929	4.00976	4.445512	5.490531	3.1864326	4.431636	2.6856537	2.8791792	5.3060184	5.059307	2.4413524	4.266118	2.9262748	2.2381961	5.781348	4.5149293	4.070198	4.1145577	2.062336	3.2340014	4.861912
SYN-00034	3.3178215	3.333753	4.153376	4.535423	1.2578743	2.3397655	2.2402496	4.5501275	3.6066833	3.9871626	2.2389507	2.4888473	2.6794977	3.7948997	4.241275	4.021944	2.5845866	1.4371862	0.96981645	4.155647	5.186519	4.113748	2.5038877	1.372201
SYN-00035	5.165495	4.29396	3.500581	5.8865943	3.8467588	2.626511	4.832894	3.3779755	4.18277	5.9123907	3.5000138	2.2455788	5.746236	4.028452	4.7091904	5.899459	5.032075	2.6176062	5.7666492	4.010355	4.3781414	4.771555	4.4463787	2.5481808
SYN-00036	3.0998583	5.163998	3.936968	3.9604988	3.475711	5.1842213	3.4716277	4.092594	2.8130896	3.1459422	3.402483	6.774577	3.2192154	4.8408575	3.3881032	3.293787	4.6463027	5.199176	2.4413505	4.5684524	3.5744119	3.3586967	4.020976	6.069005
SYN-00037	5.77631	1.2765229	5.3713017	2.2552028	6.257427	3.3082101	5.3728085	2.243468	5.526787	3.4879396	6.3154335	2.8400135	5.459795	2.2034616	6.5307574	2.5702677	6.2027063	2.456246	5.179315	2.1677756	5.9908724	3.281585	5.5120096	2.877937
SYN-00038	4.3823595	3.5726414	4.3600807	5.0474873	2.9571424	5.029089	5.265189	4.0956984	3.7550988	5.473915	2.3260467	4.422824	4.9148602	4.0023766	3.548225	4.586402	2.469549	3.9614823	4.9608703	2.5204782	4.7896075	4.4276237	3.1881044	4.274053
SYN-00039	4.5724945	5.429656	6.2042375	4.769613	4.2639303	3.8352504	4.1647606	3.368861	5.2305737	4.656637	4.5305977	4.026165	5.064028	4.8072762	5.398736	6.223878	4.3269525	4.9072924	4.220019	4.763118	4.605136	5.5300813	4.3119397	4.754898
SYN-00040	3.7575707	3.3395975	2.5508685	3.8434913	4.7036104	4.2945814	3.9293878	3.5645216	1.4995005	3.3742275	5.4268246	4.0478506	3.3251154	3.0898137	1.9941792	5.0930166	4.3981557	2.6903586	3.1889548	3.114679	2.2539415	3.7240748	3.8573327	3.0845017
SYN-00041	4.6742444	2.587089	6.259184	4.1486235	5.174431	4.241263	4.389603	2.350001	5.3667793	4.3793178	4.829388	5.135636	4.489542	1.577884	5.4074364	4.236873	4.3521147	3.8696911	5.2864265	2.3165588	6.220278	3.3851733	4.6426387	4.3948627
SYN-00042	3.090265	3.499709	0.49605536	4.511978	3.6689513	4.703546	3.3888652	3.086005	0.07938647	4.4045825	3.8310993	5.5670433	2.0578113	3.7325437	-0.3838601	4.86135	3.4226892	5.890572	2.7180686	3.2384148	0.5857146	4.2364516	4.480352	5.1723523
SYN-00043	1.6387765	4.0074162	3.7351696	3.69399	2.0366871	3.3307264	2.327239	3.7230606	2.6804986	2.352757	2.393917	3.024043	1.9075866	4.044721	3.8330991	2.247199	2.6167643	2.8973908	1.9947321	3.922929	2.8696208	2.0504966	3.1693747	1.8050928
SYN-00044	3.7275279	3.8630857	2.7607021	3.6023984	4.375077	3.4191644	6.8414373	4.043481	2.9988427	4.0623126	3.431051	3.484879	4.842819	5.60929	2.9497783	4.59671	5.1010613	3.166105	4.5601277	6.089148	3.730951	4.5809298	4.412711	3.376847
SYN-00045	2.8931723	3.6460233	1.5576441	5.440489	8.0315895	3.8750527	2.5853732	3.0752368	2.8459466	4.7432437	6.611884	2.1787539	2.945582	3.0000286	1.9271202	5.553335	7.3379602	3.5116017	2.8916144	3.4303145	3.1506639	5.096223	6.6124697	4.1311784
SYN-00046	1.4834707	4.940686	5.751185	5.155706	4.655278	6.081362	1.7171166	4.6098804	5.7695007	4.9839883	4.222079	3.821539	2.2002568	5.205846	6.6755567	4.526525	3.8864017	5.719637	1.4570909	4.3221416	5.9990373	5.3663673	3.984073	4.697135
SYN-00047	4.429824	5.453363	5.35788	3.1650844	3.322528	3.2376194	4.1938357	4.348305	5.181394	3.8176656	3.574545	3.3865237	4.0071945	5.6271486	5.543979	3.953485	3.2486758	3.9016924	4.512408	5.0690928	5.5155005	3.5873678	3.7360067	3.4707403
SYN-00048	4.2712264	5.013389	5.165716	3.2383184	5.133083	3.9708881	4.1733766	5.1667213	4.939109	2.0497768	4.203665	5.148235	2.882197	3.992006	4.7384734	2.5840335	4.9767323	4.562067	3.6561394	4.2693186	4.9682355	3.6755874	5.058146	4.121472
SYN-00049	1.0698197	2.9782293	3.874958	4.0526476	4.8196287	3.0119805	1.2160416	4.4023805	3.672641	5.114205	4.417053	4.7286086	1.6321473	3.7288573	4.4882793	4.5994134	4.2122707	4.5774484	1.9081917	2.5837266	4.3263235	4.621421	4.6187334	3.2698522
SYN-00050	3.2240024	4.893913	3.1931853	3.6234078	3.307252	3.0192623	3.1973825	5.368441	3.2366085	3.006919	4.158867	2.7169032	2.979919	5.0736628	3.4447863	3.9205475	3.4624264	2.8878188	3.5350237	5.2456794	2.7293694	3.44194	3.5054908	2.5958242
SYN-00051	3.1930537	4.0129714	3.5022604	3.6349306	5.174239	4.9466257	3.4388208	3.6269572	4.1386714	5.403537	4.691174	4.244325	2.940116	3.2746358	2.4787693	4.6185894	4.584039	4.49043	3.3204327	3.3477032	3.7491498	4.4268823	4.8726444	4.737118
SYN-00052																								
SYN-00053	2.4445167	3.2580948	5.6707063	3.045161	2.3158185	3.2537336	2.8541758	2.9188693	5.9437094	3.095868	1.8192599	4.136189	1.8222709	2.5648396	5.7146196	2.6564574	3.1955729	4.3459063	2.2401729	2.783603	5.385191	3.207623	2.376011	2.9159465
SYN-00054	5.6822157	4.2568636	4.531139	2.330459	2.6297045	3.207653	5.905525	3.378589	3.79471	3.2968485	1.5295448	4.579133	5.0647554	4.567335	3.5821674	1.8364997	2.6714745	4.174308	4.6987233	3.5116332	5.164724	2.291329	1.753269	4.420601
SYN-00055	4.896465	4.615757	3.9044218	4.9228206	5.7551785	3.307237	3.5387464	5.18255	2.9061084	4.407165	5.033252	1.7949831	3.3350358	4.635219	2.7902544	5.780552	6.119103	1.8433919	3.8459527	4.162216	2.600432	5.2066956	5.88182	2.1384697
SYN-00056	3.4914205	3.0267615	6.084299	4.912375	5.376624	4.160856	4.1970544	3.9699879	6.028943	3.6349483	4.596756	4.2780204	4.068888	4.6478453	4.6847796	4.389112	5.7274866	4.217421	4.301137	4.5003757	4.9009495	4.178026	5.210771	4.280226
SYN-00057																								
SYN-00058																								
SYN-00059	2.3103797	2.6118019	5.162397	3.0720572	2.567584	3.7656634	1.9338121	2.6974366	5.348508	2.9944382	3.2300954	4.3449273	3.4011643	0.5844972	6.084591	2.8728728	3.3288908	4.297129	2.513773	2.765338	5.244973	3.8290803	3.3115606	3.752208
SYN-00060	3.6929605	4.3804245	3.8667023	4.1630354	2.9137855	2.9876144	3.195653	5.001355	4.7744126	3.8198135	0.5898628	3.521526	5.3317404	3.8252897	4.2771287	4.5956855	2.0238223	3.8088756	4.419313	3.8907936	4.973734	2.7711701	4.075001	4.319626
SYN-00061	3.502109	2.410016	3.17778	3.5657644	5.3724947	5.8156033	4.2960153	3.0889633	2.9693594	3.036635	5.656709	5.3273897	3.8541472	3.9840312	3.3812685	2.394504	4.9265275	5.887391	3.8951616	2.3644571	1.9570003	3.4049804	5.3249254	5.708231
SYN-00062	5.2057605	3.59396	4.6718683	2.6532462	6.3920603	3.934318	5.2687697	3.7888172	4.2241936	2.342071	5.3730907	3.1951697	5.3071947	3.439796	3.2241669	2.6674507	5.3450665	3.945269	5.978919	2.581141	3.0618055	2.4560976	6.015686	3.277484
SYN-00063																								
SYN-00064																								
SYN-00065	4.094909	4.5984564	4.2471247	4.163047	3.6852386	1.5290127	3.863708	5.3775535	3.4169748	3.9872797	4.542267	2.7813997	3.5372415	4.8236456	3.4309363	5.026197	3.4910684	1.2003005	4.381373	4.340671	3.338098	4.478588	3.0424657	1.3453012
SYN-00066	3.2448437	5.130514	3.3132133	4.695583	5.6062546	2.836152	3.7815394	3.976592	2.4659534	4.614677	4.5053253	3.3119774	4.221971	3.9362361	3.099555	4.3117657	4.614895	1.9540238	2.816967	3.8340187	2.4468422	4.169788	5.351839	3.2540312
SYN-00067	4.474898	4.57135	3.776404	3.6812754	2.639911	3.4508586	4.2721553	5.4498253	2.6685982	4.1928525	2.127687	3.9110253	5.6542416	5.4253736	2.8908267	3.704894	2.5631704	2.970078	4.4277897	4.034575	3.777202	3.331983	4.4153175	2.843276
SYN-00068																								
SYN-00069	3.094833	4.68639	4.310936	2.0151556	4.041564	3.8363025	3.1888309	4.429609	3.3043163	2.7321386	4.51459	5.498703	2.631553	4.0118876	4.2540817	2.3035865	3.7827468	4.369929	3.0986686	4.0122304	4.863908	2.3894577	3.8629923	3.8131948
SYN-00070	3.6766484	3.6455002	4.2342806	4.0385747	4.4504924	6.3860254	3.5154161	3.298971	4.6089993	5.161231	4.858278	5.6724825	3.9607973	2.34917	5.275493	4.6386423	4.276626	5.1326046	3.0633128	3.743653	4.8655596	5.0076137	4.3265533	5.525161
SYN-00071	3.9177642	3.2670465	3.8879838	3.3784058	2.8489397	5.711379	4.3673887	3.7799602	4.7398624	3.2366323	2.2879782	5.577546	4.8845334	3.694184	4.7694807	3.1599207	3.650656	5.5488544	4.6640706	4.4104376	4.833965	4.81645	3.232865	5.0467596
SYN-00072	4.3433657	2.1627417	4.075001	3.6794233	1.4653215	4.152839	5.734712	2.806823	3.163546	3.6850421	2.2304082	4.1992555	5.123843	2.9246898	3.4209027	4.0007653	2.6894965	4.684682	4.469781	3.2733905	3.3447418	2.3249216	2.4960842	4.2921476
SYN-00073																								
SYN-00074	4.7475967	4.298462	4.5538454	5.0679154	3.3272073	4.2462764	2.8893743	4.9403806	4.3598127	4.7476363	3.2449386	4.8061547	4.218086	4.846464	4.287675	4.8323836	2.9903514	5.0029974	4.1819773	5.6849446	4.1284432	5.6501384	3.2931178	5.580182
SYN-00075	5.6773295	4.5342865	3.4271474	3.8910646	4.105251	3.6681802	6.639671	4.894461	2.2990606	4.1166773	4.274164	4.368384	5.22449	4.4711924	2.3820398	3.7181466	3.7298927	2.6714563	5.2923794	4.8252635	1.8643854	4.262622	3.8098907	3.8476691
SYN-00076	2.8242524	3.325638	5.8604918	3.8703923	5.8802977	2.444839	2.8013062	3.2112548	4.941849	4.6122875	4.8223443	2.3377166	3.3324285	3.5544655	5.866751	4.580803	6.7934465	1.8161633	3.0617785	3.3248975	4.944548	3.7646172	4.3936934	1.6763265
SYN-00077	3.4084585	5.1811433	5.987804	3.708561	5.951547	5.174017	3.9505985	5.384474	6.204749	4.526328	5.762765	6.511133	4.1082797	5.995512	5.8917317	3.380646	5.3811703	4.970426	4.115272	5.4746327	4.766018	3.8794703	5.2821784	4.2897882
SYN-00078																								
SYN-00079	5.04526	5.235716	3.9467037	4.429016	4.2184134	2.0528116	5.2360363	4.870239	4.4768944	3.6261723	4.23711	2.5507355	6.2186127	5.1755624	5.400086	3.0995617	3.3956175	1.9616213	5.7005186	4.819953	4.5652313	4.106046	2.9456177	2.0541143
SYN-00080	5.918624	4.182022	4.305629	3.6040552	1.2664852	4.886549	5.2427273	3.4158907	4.0759163	3.6618972	1.6496024	5.289129	5.903676	3.9605138	6.236082	3.1922781	1.4858892	4.811484	5.829598	3.4798768	4.973163	3.6949227	1.6397502	4.827069
SYN-00081	5.1541395	6.787264	3.3269506	2.7405717	4.2336187	2.9853997	5.854	4.9901233	4.4144197	4.424195	4.3188562	2.3336585	6.207006	6.761552	4.611545	3.9384844	3.7712045	3.026948	6.028162	5.958138	3.565878	4.0500026	4.274978	3.703528
SYN-00082	3.1620474	4.7927275	3.7166815	4.0394263	4.4430766	3.3375196	3.4003692	4.497118	3.8737411	3.309023	4.6373696	2.8366058	3.1428974	5.7210836	2.2607296	4.0719824	3.5375528	4.7224717	2.5424638	4.9887505	3.7000983	3.7507021	4.271877	2.9960122
SYN-00083	6.112874	4.367888	5.704041	5.257099	4.4522853	4.1619997	6.8343315	4.087358	5.497563	4.2155714	4.6387844	4.202325	7.0599694	3.8267834	4.603043	4.4517493	4.9816465	3.9541664	6.686199	4.299569	5.566019	4.793422	5.5412064	4.648248
SYN-00084	4.4694576	4.2808266	4.094727	4.372025	5.364576	1.3231432	4.806337	3.735118	2.5039327	4.865058	5.0649395	1.8332145	2.9450688	3.7327292	3.6782856	4.629634	4.909631	2.3758287	2.764535	4.096712	3.7166164	4.063768	4.732239	1.846195
SYN-00085	2.257607	2.18961	4.1506457	4.8416176	4.299255	6.211816	3.260363	2.3906217	4.8203754	4.581553	2.2565947	6.8108177	2.8727689	3.7506428	5.2127485	4.438875	3.7976587	5.8711314	3.4891708	3.5156221	4.004627	5.242122	4.04984	5.1523895
SYN-00086	3.07008	3.487316	5.569907	3.2803404	4.9529123	4.2314425	3.8873994	4.223707	4.7384744	4.8947573	5.7423544	4.163596	3.2768898	5.0509033	3.2455235	3.9444678	5.1127124	2.6205218	3.9027092	4.5107403	5.5574727	3.1269364	4.860782	3.5940018
SYN-00087	4.397959	4.036812	4.6742816	5.0339484	3.9379997	2.5873008	3.814674	4.431086	5.192825	5.366558	2.8385234	2.7491512	4.573561	3.6253846	4.214686	5.9016547	2.908293	2.2689092	3.6684155	3.9050179	5.641963	5.4754477	3.4840164	3.0379572
SYN-00088	4.72367	2.185812	3.5566297	5.327735	2.4865384	2.3989599	5.0882363	1.8095036	4.1238985	4.4080324	1.3415678	2.786059	4.8564196	1.3441553	4.440501	4.732663	2.0815587	3.38019	3.7509463	0.8938079	4.7280765	5.23071	2.251327	3.165567
SYN-00089	3.8058462	3.612278	3.5246634	4.3938074	4.075893	2.4944673	3.6601052	3.3238928	3.804441	4.5605564	3.2067344	1.4888139	4.4646044	4.7089195	4.7367644	3.9522386	4.820972	3.0403087	4.2244525	3.495746	4.1762633	4.860579	5.8399973	3.3256037
SYN-00090	5.9646797	4.540461	3.92175	5.296135	4.0809746	2.6873355	6.1814747	3.1739616	3.235898	6.419777	3.3416576	3.8822823	4.629222	3.456367	3.2339692	5.4071255	3.553941	3.1728592	5.4735703	4.1090455	3.096274	4.733798	2.9456153	4.487233
SYN-00091	2.1577492	5.9951234	1.819977	2.1490235	2.0644388	3.381892	0.978039	4.7644844	2.7568843	2.9388862	1.6678329	3.8573763	2.1485853	4.4781313	2.1369123	2.0967793	1.1928618	3.6767893	2.2521691	5.7521906	2.607365	3.5182838	1.7084808	3.807702
SYN-00092	1.0914159	5.028994	3.5039363	3.1466877	4.794433	3.1510844	1.1881056	5.1894526	1.9756954	2.4658194	4.278329	2.7936187	1.883501	6.12839	2.9270728	2.279648	4.1901355	3.1701114	2.149105	5.367679	2.4365864	3.0030744	3.5300612	2.2546203
SYN-00093	4.170478	5.613102	2.9040403	3.3097577	3.228408	3.650137	3.9460955	4.474827	1.9470859	3.4433787	3.4506984	2.9093294	3.9113255	5.4489	3.0957873	4.134409	3.3559375	4.022446	3.414053	5.8821545	2.9290173	4.7483873	3.624301	3.6305654
SYN-00094	6.1676645	2.224934	4.900729	4.458261	2.8260915	5.261201	7.156501	2.6198735	5.8549194	3.9385335	3.594598	5.677684	7.4994063	2.7273793	5.317433	3.8941336	3.959106	5.284357	6.5833445	2.5548394	4.1632357	5.2798615	3.6159801	4.7090454
SYN-00095	5.9116535	3.2381728	3.6532965	3.648628	4.172961	3.9003534	5.2207413	3.0889254	4.405141	2.9641178	4.4620147	4.4680104	4.724561	3.5168862	3.2967696	2.1892784	4.2740664	4.57269	5.134708	2.9704406	3.5631633	3.8299959	4.509125	3.4220765
SYN-00096	4.1249094	4.5616264	4.362555	5.18048	2.425377	3.6859531	3.733814	5.706354	4.7652645	4.8795347	2.2695303	3.14491	3.8796105	3.7320735	4.4463243	5.7152505	3.8086154	4.3962874	3.2140515	4.072142	4.402671	6.258954	3.076856	4.2669444
SYN-00097	7.2322397	4.0401087	5.32173	3.1504774	4.1170692	4.176097	7.6525497	3.371586	4.688178	2.1919181	4.2960916	3.6916442	7.381341	3.333038	5.5585437	3.1422102	4.6812086	4.080077	6.7368555	2.2250555	4.78703	2.5953784	5.17167	3.5986958
SYN-00098	4.674685	4.4379725	4.832223	3.2368731	2.7046113	3.3018947	4.5842094	3.8622901	6.094018	3.1459694	4.6142397	4.061562	4.8359747	4.0624757	4.9292607	3.5207388	4.258128	4.422592	5.0101657	4.202939	6.0829916	4.5749393	3.16392	4.3338704
SYN-00099	3.2464266	1.9099343	2.6130178	2.1585884	6.297888	7.872783	3.147479	2.033391	4.2817135	3.1343374	6.092513	6.22776	2.7731562	1.2189176	2.3062403	3.2229495	5.4676733	6.090268	2.886722	0.45679688	2.9141574	3.2076216	7.1866264	5.599928
SYN-00100	3.2562559	4.2732043	4.1321135	4.593181	3.4118946	4.1394815	2.1351469	4.4696097	3.308582	3.3657436	2.4024918	3.70013	2.502092	3.5058355	3.8449776	4.2707133	2.2909832	4.4769382	2.200823	4.8016205	2.2520757	4.3901954	2.9223108	4.071543
SYN-00101	2.4986687	2.93195	2.5582144	1.9305723	4.395108	2.9279308	3.406726	2.0968113	3.3704724	0.83568954	5.5583477	2.4660223	3.3651228	2.5717208	4.268531	2.3112638	4.892178	2.8857665	3.7982774	3.5839	3.161953	1.998348	4.8689013	3.2972753
SYN-00102																								
SYN-00103	3.3846982	4.321872	4.8818984	4.203822	3.4639368	4.980639	3.5770326	4.6127768	5.270994	3.0377898	2.4434576	5.8526974	3.7928305	4.3774185	5.466272	3.720168	2.184204	5.981202	3.4068537	4.4888563	5.9845085	4.8748255	2.836104	5.222786
SYN-00104	5.61124	3.3356524	4.8741717	3.7447197	5.7852907	3.2625613	5.1841984	3.2513094	4.7608128	4.114677	4.6401253	3.4785066	5.092038	3.3258743	4.2049155	3.614589	5.799361	4.1623206	5.11841	2.8049815	4.7723093	3.3989115	4.9513636	2.7365818
SYN-00105	6.670389	4.426113	3.3256824	3.6921163	2.677875	4.962234	6.3431797	4.972166	2.684755	3.0805638	2.1822672	6.612297	5.044453	4.0129366	2.673037	3.8054316	2.3870478	5.684267	5.560252	4.1254916	4.682445	3.6366239	2.6593041	4.7318163
SYN-00106	2.036512	2.9606423	7.2115736	4.707368	4.6122475	4.5716414	3.2065842	3.7301288	5.808646	5.0290456	4.5019984	3.851034	3.4270053	2.8776476	6.3389654	4.286558	4.5431223	4.292199	3.6935894	4.563093	6.259489	5.0156107	4.133349	4.83286
SYN-00107	4.3122807	2.9135373	4.542706	3.4461021	6.8771734	2.1947455	3.7335813	2.563835	4.633657	3.4072592	5.345571	1.9411495	3.8236794	1.250741	5.7725134	2.8547149	6.2857695	2.648528	4.0352764	2.7118933	5.4080753	2.0304327	5.5409207	3.0328255
