patient_id	mrna_feature_000	mrna_feature_001	mrna_feature_002	mrna_feature_003	mrna_feature_004	mrna_feature_005	mrna_feature_006	mrna_feature_007	mrna_feature_008	mrna_feature_009	mrna_feature_010	mrna_feature_011	mrna_feature_012	mrna_feature_013	mrna_feature_014	mrna_feature_015	mrna_feature_016	mrna_feature_017	mrna_feature_018	mrna_feature_019	mrna_feature_020	mrna_feature_021	mrna_feature_022	mrna_feature_023
SYN-00020	6.0127583	4.2099633	9.105173	3.5766811	10.731406	11.195461	9.558755	5.116818	7.170079	4.6781473	7.410521	10.325106	6.987701	6.4727945	6.346986	2.627514	11.963514	8.731185	6.952711	4.460397	9.332859	2.57522	8.491846	11.593213
SYN-00021	8.529331	7.9182544	7.3038006	8.500842	7.31174	7.023922	4.852893	10.949431	7.30097	9.109571	8.174513	7.318494	6.0330334	8.653558	6.0161963	8.542764	7.7923183	8.649623	7.4442816	9.823703	5.6996355	9.360442	8.432737	7.548225
SYN-00022																								
SYN-00023	10.299616	7.662672	13.6474695	5.3611217	5.365396	6.3619323	7.6981235	7.120047	9.133177	5.7795925	6.868634	4.1613927	7.3211646	6.9647045	12.099836	5.3921776	8.326803	7.2000513	8.877667	6.5613575	9.201221	6.141242	5.138137	4.932967
SYN-00024	10.032135	9.255895	12.835757	7.5386214	5.8619194	10.812829	9.462673	5.787203	11.151317	9.687968	7.4818068	11.205877	8.316178	7.444475	13.238867	8.270394	6.8905444	8.19536	8.621062	7.567233	11.040547	9.999979	8.945067	8.640911
SYN-00025	7.0643225	6.253155	10.288206	8.365849	10.706852	10.132413	6.7925425	6.9558525	8.261103	5.790601	10.242231	8.31711	7.5237923	5.2467384	10.082646	7.4921994	9.648238	9.343002	7.1082354	8.141246	9.248963	5.5567384	11.526708	9.801892
SYN-00026	7.0293565	8.334612	6.5864077	10.54698	5.754685	3.822276	8.220894	7.402743	8.510162	8.359127	6.426882	4.029664	7.763983	6.8705482	7.1847706	7.7316685	6.6788063	3.8296885	7.8681417	7.671213	8.820697	9.671322	8.067548	4.1603208
SYN-00027	7.1093864	6.7314773	5.0995016	9.547579	7.6235704	5.409364	6.894297	7.047821	6.154651	9.426844	9.307289	5.2800045	9.273516	5.1211643	5.318987	9.429863	4.9433002	4.099864	7.0024786	9.443357	4.261601	9.730431	6.1102414	5.821369
SYN-00028	7.583183	4.9836645	3.722044	9.795125	7.056759	7.7182817	9.473576	6.545579	5.109915	8.284108	8.757146	8.142405	7.6935935	6.9760666	5.7675676	8.134682	4.7209597	9.462511	8.761281	6.0119286	2.3338637	8.210869	4.342124	10.317221
SYN-00029	6.4412246	10.580935	9.118931	8.605941	8.680015	9.8034525	7.1018667	11.16084	9.3703575	8.190959	8.018797	9.333392	6.600834	10.291519	9.092955	7.9349623	6.9607897	11.319771	5.164852	11.017739	9.735092	7.1670094	7.1130257	9.371868
SYN-00030	8.728983	7.1063595	9.578254	4.923613	6.770015	9.442035	6.8494735	8.948098	9.125157	5.6233244	4.365698	8.614696	10.6344185	9.200005	10.324321	6.034502	5.2980638	8.362891	8.875732	6.24666	10.332284	3.7607527	6.730502	8.219079
SYN-00031	8.432378	8.80556	7.6261606	11.062646	6.97571	11.301279	9.568472	9.373325	9.135166	7.996324	5.9691834	8.695856	9.260383	7.859253	7.0466833	8.038818	6.0376563	8.760025	7.732898	8.456734	6.2578754	9.130212	4.281176	8.534623
SYN-00032	10.020296	10.60712	8.200977	9.888651	11.884649	7.968882	7.2328854	11.544458	7.1354227	7.709457	9.744537	8.768014	9.966668	10.157048	8.858646	8.862093	11.248863	8.765821	10.60316	10.036936	6.5420856	6.2391367	11.959439	10.558836
SYN-00033	11.148207	8.757942	9.034406	6.742402	7.800409	8.996649	9.387228	7.213302	9.958514	2.3462	5.227328	8.816782	8.194193	6.087572	8.571634	4.4517374	7.327533	11.026532	8.436297	7.197151	9.167763	5.2991076	6.3580074	8.436916
SYN-00034	2.9453077	7.9914145	8.417872	8.576752	4.3193603	4.4841156	4.4750977	6.9338317	6.313555	10.678061	4.571519	4.3535166	4.7094955	7.756891	8.091183	7.862152	4.2657804	3.4692354	4.6132574	7.1014137	6.4565244	8.577273	5.1214657	4.760306
SYN-00035	10.518278	7.4495597	9.525519	13.78442	10.81111	4.860377	9.366131	8.054608	7.3988547	10.548498	8.5575485	4.9937305	11.096354	9.009256	9.047017	13.03134	8.365389	5.0417366	10.9531145	8.3331995	6.990236	13.133715	10.088068	6.0728383
SYN-00036																								
SYN-00037	10.384897	6.881618	10.758753	6.7873926	10.843227	4.7053547	9.79141	4.43095	11.656841	3.8918934	12.25197	6.5208287	10.558555	5.101082	11.776884	4.811989	11.891767	4.6933136	11.649673	4.9360676	9.845126	7.9360933	11.326632	4.7019634
SYN-00038	10.557144	7.328718	6.5821867	8.141829	8.276834	8.9059	9.596062	6.3869996	7.4354315	10.674774	7.474635	9.842506	11.684031	6.963628	7.328749	8.724022	8.956367	9.053178	10.546723	7.2933397	7.1077027	9.53256	6.8709793	9.704628
SYN-00039	7.791872	10.286908	9.5617895	10.194006	11.21299	7.6513968	8.451326	9.835576	11.688414	11.846216	9.139844	8.78643	8.588943	9.513949	10.077053	12.564027	6.9508233	7.7392383	9.5473385	11.22081	8.828052	12.733843	10.8755045	7.2236023
SYN-00040	7.0838904	6.2826586	6.214053	6.95545	9.296045	10.417231	7.446055	5.4573827	7.3519073	5.310697	8.581198	10.7413225	7.2903996	7.3737683	5.3994265	6.7945876	7.332028	8.7248	8.960921	6.0988355	4.835122	6.885823	9.256846	8.629484
SYN-00041	8.866486	5.224856	11.790004	7.121457	10.905645	6.609605	10.209274	6.4032106	10.92152	8.026476	9.951719	9.654588	9.620814	4.403618	13.274835	8.425257	9.644871	10.260258	7.798924	5.763575	11.254495	6.840273	9.814772	8.273622
SYN-00042	5.6413326	6.230362	1.5308323	10.355926	7.2407937	7.8114567	7.7119384	9.103174	2.8951192	8.431384	10.063177	10.271271	6.3180676	8.170982	2.8073268	8.038696	7.697244	13.004915	7.0005445	5.9433584	0.78391314	6.3612003	7.112629	10.969958
SYN-00043	4.2967424	7.2486634	7.5624714	6.8048563	5.1718426	4.3475	5.7523913	6.932704	7.71631	5.4493117	5.761838	6.40087	4.525913	7.2553	8.012432	5.8451986	7.1899734	7.679723	6.0066886	9.157307	8.760131	6.1725025	4.302003	7.07784
SYN-00044	10.245944	9.951362	3.55894	5.377811	7.729377	8.015137	10.854534	10.439426	3.6362066	7.865843	9.9228735	7.308351	11.461838	9.866346	7.505713	7.1423573	10.141221	9.071489	7.636139	11.101101	4.3153005	7.4259043	9.208931	10.4401455
SYN-00045	4.9038706	5.5413895	5.442204	9.774344	11.66278	8.070918	5.7935424	5.26237	5.504169	10.283894	11.851494	6.157733	5.9682646	5.6534615	6.841428	10.053032	13.4105835	7.7832217	6.783629	6.39531	6.467824	10.057886	12.901024	8.350121
SYN-00046	4.085104	9.25564	11.264627	10.816933	10.298995	9.528057	5.6292953	10.589989	11.941327	10.742649	7.0855103	9.090933	5.927822	7.5803013	12.047306	10.651653	8.652475	8.179866	5.043021	10.690115	10.94897	10.42234	8.641512	10.809881
SYN-00047	7.93386	7.95596	8.658406	6.8266706	5.4559736	7.4240828	9.140315	9.157766	9.199758	4.9894133	7.532883	6.510216	8.238812	9.975726	8.631645	5.9442825	5.40477	5.795903	6.236154	9.883408	9.796984	5.5111647	7.077777	8.171039
SYN-00048	7.070137	7.3664975	10.608446	8.966093	10.63812	8.100811	8.115624	7.4004836	11.643346	6.8885736	10.057488	7.16905	6.6923294	10.443208	9.842939	5.673135	10.039045	9.165329	8.768652	8.713252	12.056639	3.500609	9.657117	8.882097
SYN-00049	1.6228986	6.7812743	6.3299947	8.181883	10.393637	8.379566	3.8308487	6.5969896	7.6823597	8.999537	10.457199	8.064525	1.8978629	9.621629	7.4363904	8.540949	11.122139	5.789623	2.3303785	9.262493	7.027768	10.281342	7.3227983	6.631824
SYN-00050	5.1120605	9.707852	7.382766	7.9377894	6.718483	4.8077064	7.6037393	9.3951025	7.853861	5.3749313	6.3081427	7.57953	5.790109	12.385669	7.8905106	4.2359085	5.953845	8.166725	7.4621677	7.564706	5.913065	7.7501607	6.423353	7.457691
SYN-00051	7.9848433	7.070326	7.414234	9.138432	9.651877	7.6543884	7.7546663	7.507038	7.4033675	9.400021	8.666306	7.8277283	8.831634	7.664295	9.071945	9.347164	8.719641	9.251909	8.621135	6.5944896	7.7359977	7.8467937	10.497335	11.083863
SYN-00052	6.987957	8.345646	8.5638075	10.325639	5.4472084	7.667899	9.558233	5.5888643	7.649332	8.098909	10.466671	8.848431	6.2767158	7.3034897	8.359258	6.6032224	9.799543	9.688809	6.358228	7.2723007	7.806849	6.9330153	8.888051	7.809082
SYN-00053	4.448758	7.90194	12.2592125	3.1016927	6.0540667	6.557496	6.5495563	5.875681	11.895549	4.795109	7.1674285	8.757349	4.522384	5.2754655	12.023031	6.7769785	6.7541056	7.4164634	5.9165745	7.326411	10.993725	6.894573	6.062436	6.8503675
SYN-00054	10.514784	7.9298964	10.2204275	5.6556845	4.3986597	7.5	11.749098	6.8591456	6.965046	4.673691	3.4668622	8.356188	11.35403	8.665543	9.675735	4.721519	7.0068207	9.147968	11.665127	8.333515	9.014374	3.6183949	4.8717256	8.290601
SYN-00055	7.6355076	8.485137	5.490664	12.079918	7.831818	5.1344175	5.823226	9.665069	5.348113	9.873091	12.291807	6.487925	4.2165546	9.125076	6.654085	9.634749	12.197249	6.868641	6.2077723	8.995604	6.3320584	10.640651	11.992617	5.3881006
SYN-00056																								
SYN-00057	6.70202	13.674906	11.548962	3.8835578	7.6770453	9.606709	9.194676	12.574548	11.9257765	6.8667994	10.22747	7.3186307	8.39432	13.898015	12.429973	4.701939	11.330933	8.321833	7.3891616	13.048327	11.887244	4.5223894	8.30551	7.867222
SYN-00058	6.6965404	7.940818	8.42338	7.610278	8.753183	8.3172245	6.9678445	6.054987	7.824611	9.627175	7.0699687	7.7238936	2.9833546	6.9515305	7.5712004	9.925301	7.8577795	7.5135827	7.2381897	7.120297	9.350064	9.802539	10.136152	6.932532
SYN-00059																								
SYN-00060	7.160081	7.867219	8.253454	5.8386593	6.9210496	10.962097	8.389199	7.166575	11.294014	7.504465	5.6978483	8.058065	7.0164104	6.0890584	10.053688	7.9013453	6.334683	8.553887	7.79998	7.939124	9.773883	7.389223	6.2466125	6.4197664
SYN-00061	9.088205	7.554855	6.1654415	4.729456	9.157688	10.883614	8.820848	4.9362593	3.7830753	5.54502	9.682407	10.549688	8.999565	8.842111	5.1253166	6.491108	8.396058	10.933937	8.04408	6.47944	6.7488103	5.568234	10.390283	10.797059
SYN-00062	9.077129	5.93057	8.075824	7.8163276	10.813138	7.0416493	10.517854	7.07139	6.754272	5.9769015	10.059208	7.0933537	13.145336	7.01986	7.5551333	6.3311343	12.311076	6.3244877	10.137932	5.817855	4.867013	5.748101	12.432468	8.705466
SYN-00063	8.956558	6.6346865	8.011583	6.259198	6.398554	5.8595886	9.009498	5.730898	7.885934	5.373352	4.4985943	6.2877975	7.7724276	7.625866	7.9154634	5.8410406	8.83266	6.99276	7.673041	7.993401	8.129935	6.1938076	7.6830845	4.9074106
SYN-00064	3.9037166	9.580316	10.621195	8.578363	10.459602	10.611059	3.3061337	9.670114	8.268085	11.91387	9.809896	9.733985	2.1470118	7.741359	9.26377	9.648791	11.265287	10.587247	2.5420222	8.50867	10.285498	8.595943	10.890408	8.441332
SYN-00065	9.9911785	8.318432	4.06952	8.037412	8.542126	4.770738	6.308189	9.397733	9.177018	11.120028	8.511223	3.8056612	8.635557	9.301511	6.7567005	7.950236	4.646375	4.500378	7.9898353	6.268345	4.5052314	9.061771	7.9246397	3.17372
SYN-00066																								
SYN-00067	9.784149	9.967458	4.93202	7.8910007	5.564406	6.584069	10.58472	10.795927	7.434218	7.0904174	6.1195865	7.801498	9.852531	9.753135	6.0752497	6.409092	6.4403543	9.013776	9.450048	10.133746	7.42845	6.48909	6.615938	6.4059296
SYN-00068	7.6425467	9.606509	7.330844	5.738713	2.4987912	6.205417	6.681285	11.5238495	5.4111805	4.7534876	1.7757883	8.182848	7.3730264	8.544198	6.608565	6.101492	1.9711885	6.6626525	6.9346437	10.004056	7.597077	5.0853662	1.4015503	7.1638994
SYN-00069	7.1010833	5.2180643	10.052569	4.45654	8.356979	8.675579	6.416394	8.597048	6.7991037	5.5596457	8.725669	9.0561075	4.195027	8.033419	8.865239	3.9883595	8.302713	8.138669	5.689019	9.701595	9.049512	4.587552	8.052062	7.0927305
SYN-00070	7.963134	7.985436	8.161856	10.902487	7.023138	12.461547	7.606916	7.378154	7.2785134	7.0311365	9.202881	10.273468	7.948314	7.2738476	9.492707	9.421763	8.399565	8.26264	6.9280825	6.5268545	9.895311	10.570603	9.255681	10.6801
SYN-00071	8.92912	6.736089	9.43667	6.5311117	8.323905	10.504904	6.078919	7.556611	10.006747	7.1490717	7.782444	12.823953	7.5988526	8.158369	7.047671	7.884027	4.317342	9.295526	7.11985	5.6101627	9.858965	7.078686	5.077506	10.571783
SYN-00072	10.272101	6.079954	7.7008233	5.5034723	4.50985	7.250013	9.780681	3.1046352	8.766513	5.6062803	4.8898506	9.631647	10.37517	4.6525764	5.644443	6.3106956	5.1463175	8.193509	8.840219	8.006402	6.577677	4.469983	2.9337487	5.049201
SYN-00073	11.01072	9.096346	11.053822	7.5455065	9.148152	5.3673825	9.604429	8.24759	12.000556	7.2562575	8.151164	6.3702927	10.39472	6.9520864	9.684177	8.311972	8.249714	6.310252	11.4907055	9.842431	10.254406	7.2361965	10.088264	7.883128
SYN-00074	6.815505	10.555504	9.221045	8.4833765	7.386801	10.616153	6.3646183	8.077396	8.922754	9.9780655	6.7704506	10.906708	6.310584	11.257963	9.845596	8.563386	6.527051	9.368368	6.4930434	11.29043	10.328429	10.686901	8.423975	10.207036
SYN-00075	11.634463	7.296421	5.4475107	8.955242	9.567393	5.9233265	12.424505	8.786637	4.7108154	7.717843	9.75704	5.091138	9.548437	10.512943	6.0232983	10.242672	10.693235	6.6469293	11.307046	8.006292	4.938488	8.268366	8.532189	3.0528235
SYN-00076	5.4711895	5.778758	10.444405	6.614626	8.231833	4.975468	6.13823	7.9749103	10.289652	8.871215	11.981037	5.373479	6.6011195	7.0764017	10.707205	7.051994	10.594145	5.901202	6.091138	7.3898416	11.989122	8.398108	12.2976465	4.601115
SYN-00077	10.380223	11.478332	12.062471	6.149675	11.588163	11.4457655	9.863432	10.774973	11.7146015	8.773834	9.804219	9.165281	9.838434	10.836647	11.867765	6.677973	12.220063	10.39398	9.804205	11.158903	12.008465	8.064089	9.551835	10.658757
SYN-00078	9.521727	9.067139	10.528657	11.313735	7.589524	2.033763	9.158191	8.989473	8.049734	10.140144	7.795626	1.1502476	10.2569275	7.855906	10.977049	10.3798065	7.6055856	5.2720747	10.685319	6.097556	10.446945	10.634495	7.1857677	3.090229
SYN-00079	10.190668	11.620342	8.715038	7.5305357	4.349717	5.0485272	11.072161	9.638246	11.240923	7.5075912	6.9647646	5.0550265	9.586854	8.697617	9.475952	6.8826447	8.726429	6.2534833	9.038936	8.8528385	11.283076	8.005478	6.9578094	6.3220377
SYN-00080	12.65758	7.0658054	9.136386	7.909251	4.2629166	9.412455	10.495182	8.121523	9.453595	7.6031785	3.0264301	8.285518	11.207087	6.9378834	10.286829	6.0854897	0.41878223	8.9483795	11.484945	7.0051622	10.358783	9.68808	3.1545653	9.684282
SYN-00081	10.682378	9.849156	8.866358	6.641179	9.022934	6.7382092	10.377702	11.283709	8.85341	7.5418334	8.253527	6.415634	9.292463	11.674263	8.13113	4.5356264	8.1163645	6.893738	10.32754	9.420023	8.167982	8.690463	7.7150893	3.5544438
SYN-00082	5.5372047	7.3394103	9.243953	8.084415	7.3556376	8.189818	7.4585385	10.377895	9.863649	5.7919064	9.088666	8.426844	5.3780837	9.252509	7.4969835	6.756476	7.3507733	8.593945	5.8447638	10.165045	8.398817	6.403898	9.667816	4.658313
SYN-00083	13.443637	7.6322026	10.842666	9.0444765	9.124175	6.755416	11.414654	7.5863147	12.824087	8.455362	9.096388	8.769769	12.834311	7.1896696	8.441558	11.045988	10.019887	11.1165905	11.283898	9.2815275	10.920411	8.006075	9.960193	9.899959
SYN-00084	7.68686	9.24456	6.561942	7.467892	9.4436035	4.509838	6.7149534	5.8911667	5.768526	8.76169	8.842758	3.2075758	8.905812	7.1380973	7.106579	10.16605	10.082696	3.5682964	9.528723	6.6008015	7.0768104	10.903771	8.564645	5.7011356
SYN-00085	6.570724	5.2953963	9.775678	10.760891	6.3721476	10.14883	6.4328947	4.744441	8.1168995	9.902472	9.429939	10.450653	5.7661276	4.589611	9.634717	6.7814074	6.519857	11.493069	6.6969647	6.83882	9.02611	10.21886	7.6792703	9.9031105
SYN-00086	6.8426814	8.303123	10.63199	8.079998	9.406179	5.842244	6.639846	8.659043	7.6662836	8.182203	10.103072	7.993663	8.104616	9.112521	9.269707	8.022383	12.213784	6.92483	6.6519957	9.318339	9.371633	8.347929	10.348576	7.8463736
SYN-00087	8.292277	9.131564	9.623941	11.645458	8.712327	5.535692	7.479492	7.0601597	10.748124	10.7610445	7.103712	3.266316	7.749475	6.938811	9.048709	11.204273	7.5561037	6.4194183	8.406509	6.749014	10.485263	11.0071945	5.6368814	5.665741
SYN-00088	10.937827	4.2797184	8.270296	8.70848	5.633794	6.556557	9.701666	4.2709107	6.2730303	5.8382854	5.3003497	4.79186	10.110601	5.481979	8.297783	7.8416805	3.9306474	5.6156497	9.550405	2.6426005	6.355384	8.176874	4.936326	6.267219
SYN-00089	7.43665	7.4905324	9.049723	7.6794395	9.488519	6.2524047	7.666136	7.27042	8.552162	9.225026	9.282341	3.4729242	6.979619	8.392048	6.365925	7.541516	12.0944	6.6129594	6.828786	6.4138947	6.5509577	8.488697	8.270821	4.432104
SYN-00090	12.769186	6.9236546	7.8025675	10.366964	8.053165	5.532539	9.353309	5.392209	6.4041815	10.449709	6.1502123	7.662431	12.351858	9.78208	7.8429995	9.424821	6.324891	6.197918	9.963147	5.2480097	4.9928284	8.4865885	7.169794	6.7019415
SYN-00091	6.0983033	10.378882	5.910013	6.3615246	3.3983908	8.611251	4.1765666	11.112292	4.7427263	6.955117	5.4111547	6.238919	4.618854	10.780852	5.3523855	4.390901	3.3835182	7.1738133	3.6113396	8.215715	5.76927	5.4270477	2.597005	6.44553
SYN-00092	5.3484583	9.77408	6.8581605	6.6321697	7.0177402	6.6019106	5.0525565	9.868019	5.888812	7.5304294	10.163732	5.9293942	4.372329	10.86533	9.699108	5.108324	10.140498	8.430484	3.5574741	9.572186	7.1338763	4.414037	8.974828	5.9620953
SYN-00093	7.8931055	10.224886	6.301426	8.161725	6.3068357	6.867999	11.0066395	8.923507	5.7432365	6.3062816	7.673138	7.0090966	10.952198	9.958819	5.602537	6.2584243	5.778001	8.676127	7.110454	8.858703	8.587014	7.5865636	5.050967	6.285333
SYN-00094	12.852556	3.2891736	9.420154	7.3063726	7.0065722	10.120366	11.434868	4.1043158	10.740536	8.106766	5.7732925	9.603835	16.62797	4.3754497	8.26056	9.0889015	6.733476	7.8130784	14.673357	4.6717772	11.257796	7.844116	8.221193	7.8231306
SYN-00095	11.008151	6.6601343	6.521513	9.166036	9.081351	9.035333	9.749165	6.1804	8.174326	5.8713503	9.529857	6.464274	9.3383875	7.1198697	10.922134	6.006571	9.123582	7.6194925	9.021229	7.8637376	8.399474	5.7715487	7.0042324	8.44253
SYN-00096	8.011782	7.8840895	9.612494	11.259321	5.989506	8.826562	7.58816	7.49248	8.758572	9.80087	7.1144633	8.549225	9.200912	8.631012	11.532061	10.217081	8.062399	8.036745	9.130466	7.8587346	10.435236	9.607919	6.043849	7.6748257
SYN-00097	12.779524	5.4331446	9.755326	7.3743696	7.231416	7.7495255	12.058134	6.5290313	11.076361	7.071843	9.782439	5.8795605	15.298136	8.968888	10.388248	3.8691082	7.8701057	7.806409	13.300114	5.864147	10.030708	3.1709032	8.384327	8.286242
SYN-00098																								
SYN-00099	6.2545753	3.656106	4.2086463	5.030945	9.976745	13.421861	6.672897	5.9028807	5.655032	7.6763844	12.287412	11.945512	5.0890207	4.04887	3.5392385	5.802449	12.420601	11.712018	7.344532	4.937504	5.5513926	5.3036933	11.459676	12.201143
SYN-00100	6.248308	7.548378	6.7554593	7.2651815	4.938718	9.165663	5.5573344	8.210871	5.7727065	7.07173	7.0357475	9.824764	4.78128	5.7519493	6.404212	6.6825233	5.17255	9.227139	5.1392307	7.2383676	6.27174	9.461697	6.8383546	8.157494
SYN-00101	4.302638	4.584496	5.886204	2.7841935	10.085512	5.429978	8.277946	6.121217	6.8253837	4.1241627	9.019448	6.231531	5.2149973	4.240636	7.1666865	3.0348506	9.322403	8.485144	5.8121567	5.829044	6.913975	3.4012923	10.671275	6.1940565
SYN-00102	12.125183	9.046226	10.2849455	7.001538	10.291823	9.294275	10.1643305	10.781974	10.537396	6.6696053	10.98992	11.734161	11.825596	9.452485	10.805051	7.0056405	11.390762	9.006615	9.658078	7.6476984	10.268799	8.180993	11.100488	10.956979
SYN-00103	5.880659	9.481743	9.608735	8.753948	8.605998	10.503719	7.80093	9.774146	11.773408	6.9081526	6.550333	9.084722	8.156476	8.208834	12.614504	8.785858	6.3153143	9.516147	6.785396	6.7141523	9.095847	9.590728	5.9743056	9.040028
SYN-00104	10.1029	6.680311	7.705421	8.375428	9.843759	7.147189	7.674814	5.967286	7.9675837	5.9889	10.932413	7.5765204	9.366558	5.8283615	8.991772	9.836125	9.746239	7.9803896	11.436309	6.542961	11.100241	8.405269	8.623389	7.4171658
SYN-00105	10.781355	10.897242	7.197197	7.9265513	5.872176	10.248062	8.615341	11.453193	7.165058	8.124084	5.040719	10.593147	11.514049	10.726828	8.764049	9.943313	4.610275	12.154919	10.346159	8.823253	7.0389433	7.059332	7.245033	10.897232
SYN-00106	6.7005215	8.394201	12.293843	12.232474	8.277412	9.059306	6.757332	5.194145	9.731793	8.502138	9.023624	8.651076	5.0238657	7.3491783	10.748699	9.357548	9.578387	9.4766865	6.4167223	6.4948378	9.026201	9.118564	10.9698515	8.041939
SYN-00107	8.184165	6.9076557	10.940933	4.755311	11.820338	5.7215395	6.86102	6.740058	9.103536	4.802058	13.704778	3.9644833	8.109808	5.4671707	10.773066	4.270605	13.098786	3.6730204	7.362685	3.442665	9.13796	5.012603	8.864461	4.6176853
SYN-00108	8.117083	8.302337	8.564263	7.134573	8.870123	9.565101	7.398171	10.244735	8.210987	8.55563	9.054499	11.54711	6.8279696	6.7942057	5.833186	8.1386175	9.189139	9.84581	4.661833	5.5502377	7.1864996	8.676871	8.392306	10.623442
