patient_id	cnv_feature_000	cnv_feature_001	cnv_feature_002	cnv_feature_003	cnv_feature_004	cnv_feature_005	cnv_feature_006	cnv_feature_007	cnv_feature_008	cnv_feature_009	cnv_feature_010	cnv_feature_011	cnv_feature_012	cnv_feature_013	cnv_feature_014	cnv_feature_015	cnv_feature_016	cnv_feature_017	cnv_feature_018	cnv_feature_019	cnv_feature_020	cnv_feature_021	cnv_feature_022	cnv_feature_023
SYN-00013	0.6827699	-0.6969621	0.26759788	-0.6497871	0.7102419	-0.76921237	0.64301383	0.15716773	0.49345878	-0.6501257	0.5300588	-0.84340316	0.2250208	-0.56582224	-0.029300405	-0.89464116	0.9204032	-0.8950453	0.56831264	0.0015943877	-0.5806255	-0.92045283	0.8045056	-0.93470025
SYN-00014	-0.8082891	-0.8551194	0.09698681	0.33399788	0.9762921	0.93225676	-0.8436064	-0.85993004	-0.62961197	0.5330793	0.9204088	0.95648277	-0.17565148	-0.11851973	0.12242146	0.8425016	0.89720154	0.9726705	-0.7107203	-0.57740486	-0.69259053	0.5838223	0.8401764	0.64117014
SYN-00015	0.42541158	0.462881	-0.9718105	0.76052785	0.98303187	-0.28206137	0.87619185	0.5796037	-0.98837674	0.9239164	0.9812281	-0.02037372	0.582634	0.37773606	-0.9839853	0.85255176	0.98894244	0.48670414	0.5498358	0.030343669	-0.96366197	0.70777196	0.9976767	0.40221703
SYN-00016	-0.03437634	0.24452257	-0.17822771	-0.01806187	0.010553852	0.11393367	-0.18724626	0.11521521	0.409603	0.15998368	-0.3626095	0.5240492	-0.17608477	0.70340717	0.81703484	-0.08357782	-0.39254877	0.3886277	0.3982146	0.4958368	0.4879055	0.033454012	-0.15005878	0.2826031
SYN-00017	-0.90224934	-0.86257106	0.886163	-0.63196313	0.10236695	0.6765815	-0.847303	-0.9598262	0.92606455	0.070749335	0.66631347	0.80757797	-0.8590732	-0.88359964	0.88154185	0.26089743	0.43809444	0.9840746	-0.46371433	-0.9084201	0.92429674	-0.16919135	0.8214017	0.97744596
SYN-00018	0.9171145	0.04647219	0.6203342	-0.913597	-0.0986561	0.38152885	0.7753879	0.044836555	0.3451683	-0.7215406	-0.3722018	0.3441555	0.37209636	-0.7996617	0.12848838	-0.27973247	-0.73217666	0.5794429	0.6754666	-0.4085656	0.8331932	-0.6051322	0.75162435	0.7303591
SYN-00019	-0.24091387	-0.97639644	-0.9797291	-0.4444447	0.85637635	-0.22446693	-0.62816584	-0.9855913	-0.9599056	-0.9162557	0.8722294	0.5383063	-0.0215352	-0.95872	-0.9558412	-0.09313867	0.8242446	0.22753848	-0.17240234	-0.99492025	-0.9305135	-0.9155982	0.9527102	0.085340194
SYN-00020	0.3277171	-0.93069524	0.12748797	-0.9908961	0.35713413	0.944053	-0.08638679	-0.9728485	0.31836122	-0.98050845	0.5431532	0.8182036	-0.18715195	-0.695226	0.3572857	-0.9738146	0.48979956	0.86350125	-0.75939304	-0.944301	-0.5239103	-0.97139543	-0.055373196	0.87970614
SYN-00021	-0.748658	0.878364	-0.556147	0.76307595	-0.59649813	-0.33121648	-0.7800307	0.48671347	-0.53034085	0.40636566	-0.38643637	-0.12490738	-0.82249594	0.80616015	-0.89586097	-0.46251014	-0.736383	-0.5906777	-0.67122155	0.9083506	-0.80947214	-0.22016242	-0.63108057	0.27970704
SYN-00022	0.90396756	0.7602694	-0.34976026	-0.99405205	0.8237344	0.461352	0.9781673	0.6458954	-0.7718121	-0.98206264	0.88464695	0.73681134	0.7534594	0.7221101	-0.10299319	-0.98815066	0.95457715	0.83639216	0.9417399	0.8793587	-0.5699832	-0.9718653	0.6788268	0.7487981
SYN-00023	0.52148837	-0.4023354	0.9491509	-0.5224933	-0.30774388	-0.8698525	0.5185812	-0.81330836	0.9598911	-0.9810683	-0.6329803	-0.9005492	0.035605226	-0.32387862	0.92014337	-0.88440263	-0.77048093	-0.8696801	0.49702147	-0.83057904	0.92049325	-0.8850237	-0.6793964	-0.9621074
SYN-00024	0.5331684	-0.12910017	0.9658152	-0.2717487	-0.2209847	0.8175384	0.11357053	-0.5235522	0.94676656	-0.36721867	-0.5908714	0.5896001	0.6137757	-0.69361687	0.9155614	0.05101285	-0.41268438	-0.19984153	0.47319418	-0.13207537	0.97583306	0.3934315	-0.40952513	0.30291396
SYN-00025	-0.5779333	-0.86843073	0.48865712	-0.56541973	0.90166163	-0.2102842	-0.6462715	-0.79585737	0.8040968	-0.2716356	0.4392052	-0.038421795	-0.8563706	-0.7989435	0.47877744	-0.31802002	0.18483981	-0.38713196	-0.53254104	-0.55338967	0.65750074	-0.52561104	0.9359752	0.5452322
SYN-00026	0.08250958	-0.35422894	0.055773605	0.18721719	0.09189394	-0.85673356	-0.15993524	0.8985998	0.35220355	0.7972242	-0.53115094	-0.94849735	0.24637794	0.2569738	0.2708252	0.30221742	-0.49610075	-0.9683172	0.04227475	-0.33658585	-0.069229536	0.66198486	-0.396902	-0.9593285
SYN-00027	-0.38590416	-0.7924933	-0.87197644	0.12000032	-0.26645324	-0.90586203	0.37964213	-0.8624876	-0.62056583	0.8069659	-0.2871981	-0.9775932	0.052742288	-0.5068991	-0.21338378	-0.2031175	-0.47691464	-0.9338929	-0.21941285	-0.35601535	-0.6642626	0.7952905	-0.006441807	-0.9521066
SYN-00028	0.31121087	-0.60980713	-0.804503	0.46873873	-0.89543986	-0.1993391	0.17946246	-0.16948499	-0.97192717	0.5135036	-0.95185024	0.73882985	-0.034310468	-0.5126752	-0.9342377	0.30305648	-0.26015747	0.37104356	0.015442742	0.1936342	-0.9698699	-0.36907446	-0.84167194	0.21754533
SYN-00029																								
SYN-00030	0.90496457	0.03255436	-0.72284585	-0.46567294	-0.21511532	0.2004944	0.6618768	-0.3525895	0.747906	-0.4805076	-0.85871905	0.12944356	0.4868784	-0.18340436	0.3335999	-0.7295752	-0.8091739	-0.017099876	0.6687657	-0.48550218	0.75142545	-0.743942	-0.91441035	0.3180415
SYN-00031	0.3631418	0.38956085	0.07896467	0.9229451	-0.82458305	0.34900546	-0.33280036	0.29798132	-0.1313938	0.62662894	-0.7521686	0.4281134	0.30962294	0.5484042	-0.5559042	0.97074103	-0.6331452	0.12375323	0.51370007	0.1534408	0.01990576	0.59774286	-0.7668002	0.9053328
SYN-00032	0.5554059	0.5703697	-0.1943683	0.1348701	0.95356876	0.9552197	0.35565653	0.6503232	0.3310328	-0.08463749	0.95791924	0.043753594	0.022321757	0.8389689	-0.25992316	-0.37849775	0.8305769	-0.13129313	-0.53002757	0.83307314	-0.5129257	0.34774387	0.7611684	0.91615206
SYN-00033																								
SYN-00034	-0.9407276	0.69320714	0.54123974	0.8432724	-0.96324116	-0.9231012	-0.918092	0.16268353	-0.60818774	0.84203285	-0.88661575	-0.7583053	-0.9678964	-0.13617036	0.5549105	-0.2424433	-0.90005124	-0.83871305	-0.9721869	0.37304413	0.4497333	0.41905165	-0.940073	-0.93044597
SYN-00035	0.6449874	-0.013503513	0.5960086	0.9028414	0.38268283	-0.9597215	0.7072548	0.6182145	-0.31039956	0.8187554	0.20870061	-0.9181283	0.5811758	0.2875431	-0.14384869	0.93095154	0.17268135	-0.9186751	0.8131179	0.49095938	0.68531376	0.77252835	-0.1840507	-0.96858567
SYN-00036	-0.02337802	0.32593223	-0.05541788	0.1541633	-0.78468305	0.87734854	-0.07894409	0.51155865	-0.5947152	0.15136617	-0.81949407	0.9142883	-0.61074424	0.82945776	-0.6465444	-0.20282602	-0.5889639	0.78607225	0.2469519	0.545646	-0.124080315	-0.0083566895	-0.26375446	0.6391102
SYN-00037	0.6485474	-0.92276716	0.96536505	-0.9635878	0.9801495	-0.5837746	0.9776937	-0.9532177	0.85183847	-0.8357172	0.9438593	-0.6917766	0.8623689	-0.9351374	0.97961956	-0.89409417	0.90975887	-0.70118517	0.53389794	-0.9421455	0.9378931	-0.6724603	0.95890355	-0.79642904
SYN-00038	0.42998555	-0.05721447	0.09108713	0.16871344	-0.5681726	-0.3480282	0.82329595	-0.03835342	0.20782593	0.3632642	-0.872184	0.16732702	0.9694931	0.25104597	-0.4609508	0.2374251	-0.6696339	0.52660674	0.7750268	-0.17255227	-0.595006	0.76584345	-0.6619145	0.40708193
SYN-00039	-0.16909021	0.8237245	0.7679106	0.89187366	0.20086648	0.64444906	0.54593635	0.7868434	0.8489156	0.9680679	-0.32212144	0.11128359	0.58068436	0.5399226	0.8387704	0.9556099	-0.12326599	0.79510427	0.79108816	0.731401	0.5073127	0.8513748	0.518492	0.56085664
SYN-00040	0.024630629	-0.6433756	-0.44993436	-0.59026146	-0.10147586	-0.40344357	-0.75659406	-0.6869202	-0.7981103	-0.7718859	-0.29890075	0.49872652	-0.7545837	-0.22455715	-0.84008455	-0.102459505	0.4573191	0.25251698	-0.690529	-0.25399283	-0.67690754	-0.11078493	-0.31628218	-0.4501111
SYN-00041	0.5311282	-0.7371791	0.929934	0.30101514	0.79765695	0.6232435	0.5201869	-0.48070252	0.77112997	0.80206704	0.89293754	-0.51407874	0.6896969	-0.18570404	0.8908927	-0.24799958	0.65998983	-0.41097003	0.03517306	-0.87235796	0.8546795	-0.3409628	0.8810466	-0.45323858
SYN-00042	-0.799539	-0.19787276	-0.9976885	-0.34682658	-0.29984567	0.7672374	-0.5907581	0.02840244	-0.9883488	-0.5987321	0.31923833	0.9373872	-0.6986379	0.44893956	-0.9950641	0.8106151	-0.22198024	0.8273945	-0.29649934	-0.58584356	-0.987829	-0.03324313	-0.23485862	0.8033311
SYN-00043	-0.92668974	-0.08058363	0.08154979	-0.80586594	-0.88499814	-0.8747187	-0.9675098	0.45094907	0.31066322	-0.67169297	-0.90641284	-0.9561266	-0.95580524	0.41435662	-0.5263049	-0.3668159	-0.98399454	-0.3237512	-0.9817266	-0.64463514	-0.6579159	-0.87906444	-0.8516167	-0.77749354
SYN-00044	0.4997254	0.7149548	-0.7014051	0.015859399	0.29267824	0.6337886	0.7646973	0.6437842	-0.91097486	-0.20469722	0.54986596	-0.2867071	0.46436122	0.89534074	-0.7920386	0.30758336	0.86676586	0.71126693	0.42934602	0.75293255	-0.72606236	-0.39286372	0.6126979	0.5765128
SYN-00045	-0.8937855	-0.36027786	-0.9759496	0.40863487	0.9796652	-0.42792875	-0.9888403	-0.52393997	-0.80339897	0.6734284	0.98214823	0.044235673	-0.7995161	-0.57124627	-0.66977084	0.8300292	0.9790087	-0.08401755	-0.947361	-0.0039845696	-0.8792608	0.6471583	0.99532855	-0.2549731
SYN-00046	-0.98294	0.6278748	0.7809444	0.90405065	-0.45026305	0.7743858	-0.97287047	0.86484736	0.8993974	0.8547228	0.037169255	0.46863216	-0.9885992	0.90386593	0.59150326	0.7354129	0.37392917	0.31389114	-0.9897117	0.1697169	0.843396	0.30860883	0.1347635	0.22017716
SYN-00047	-0.18461806	0.5662148	0.7472084	-0.63004214	-0.8732519	-0.19758333	-0.551452	0.8332748	0.8510908	-0.7346872	-0.5901236	-0.7448647	0.5415357	0.40131417	0.7157397	-0.25065902	0.20109701	-0.41125652	-0.37916553	0.43096468	0.90362084	-0.56977755	-0.15359044	-0.45261973
SYN-00048	0.6750784	0.4888713	0.4519899	-0.82587594	0.75510204	0.50312674	-0.3582454	0.39160538	0.8405046	-0.94745135	0.13872844	-0.59086776	-0.40891105	0.044720728	0.94651896	-0.9147424	0.5088637	-0.5581697	-0.558625	0.17301168	0.953378	-0.8560304	0.89767236	-0.6610075
SYN-00049	-0.9938034	-0.19680952	-0.20833564	0.6415608	0.70762277	0.10821168	-0.9733323	-0.66681916	-0.3592854	0.32640707	-0.009903773	0.31613165	-0.99930984	-0.82487786	-0.23777427	0.3040935	0.12020156	-0.6608611	-0.9962142	-0.74537843	-0.74418175	0.67244595	0.13299549	-0.016798938
SYN-00050	-0.18085234	0.73282164	-0.6534902	-0.45500204	-0.633864	0.3264643	-0.39022067	0.57516634	-0.45737845	-0.91351014	0.3155613	-0.37400362	-0.71771896	0.8665299	-0.66610205	-0.6843639	-0.2391902	-0.6296603	-0.91145295	0.6531708	-0.6739232	-0.9501469	-0.7886745	-0.4128199
SYN-00051	-0.20830294	-0.811498	-0.19454658	-0.15174323	0.5514674	-0.27329192	-0.42750978	0.2667156	-0.06177341	0.39587548	0.7422911	0.3903158	-0.70584244	-0.046456527	-0.6194912	0.47422415	0.7128893	0.631859	0.2703718	0.74876404	-0.41348854	0.80334663	0.71596056	0.36732027
SYN-00052	0.58426976	0.08627898	-0.8108284	-0.70140666	0.6554564	0.58391	-0.4379702	-0.25251573	0.09815951	0.3343075	0.7933561	-0.07030002	-0.29544	-0.5373051	-0.5145454	0.4351522	0.81971014	-0.37770635	-0.5934838	-0.5516794	-0.19625457	-0.7381142	0.76682675	-0.0804322
SYN-00053	-0.8105981	-0.5923132	0.9762262	-0.15137547	-0.88348126	0.18613274	-0.9289996	-0.16351	0.97942257	-0.71475506	-0.9595515	-0.22549069	-0.92407787	-0.32302395	0.888723	-0.8093159	-0.34062818	-0.74138683	-0.9187401	-0.39985546	0.8750533	-0.44677806	-0.32490286	-0.018072298
SYN-00054	0.8788553	-0.32217133	0.63273895	-0.9444041	-0.9067212	0.48139793	0.98851854	0.14231424	-0.42436674	-0.9499331	-0.93109876	0.4240236	0.9637888	0.45079362	-0.05935032	-0.8632232	-0.89911765	-0.51485634	0.9862978	0.49305278	-0.46226123	-0.8268371	-0.95057124	0.1703015
SYN-00055	-0.53655833	0.7999619	-0.777348	0.5921526	0.92683905	-0.94954	-0.2622752	0.6218896	-0.8219099	0.63140386	0.58936906	-0.89520866	-0.23936895	-0.2683428	-0.68328595	0.7083007	0.470595	-0.877227	-0.39802426	0.799924	-0.8815677	0.7213995	0.91357595	-0.8431538
SYN-00056																								
SYN-00057	0.3554869	0.90471464	0.97826105	-0.9794827	0.46226436	0.15715097	-0.58828443	0.60859716	0.9868616	-0.9811004	0.629204	-0.22670749	0.48315594	0.96219426	0.9510108	-0.63151234	0.38781902	0.65542406	0.785254	0.9589782	0.86312675	-0.98009396	-0.51475406	0.045094885
SYN-00058	-0.739342	-0.42055318	0.38025197	0.18473642	0.50847584	-0.5183301	-0.80031	-0.5045697	-0.16029836	0.5143257	0.629612	-0.13095744	-0.87277985	-0.41358307	-0.3585108	0.5490426	0.84576696	0.47327727	-0.73736364	-0.8720661	0.5252131	0.6099937	0.38012847	-0.24400736
SYN-00059	-0.8677405	-0.978309	0.8581149	-0.15715641	-0.89517224	-0.46568653	-0.60057396	-0.96784526	0.90902483	0.082251534	-0.85073	0.020502923	-0.90015477	-0.78902715	0.6582752	0.090494186	-0.75255793	-0.13562557	-0.49732187	-0.92405236	0.93414277	-0.40014675	-0.756925	0.5750228
SYN-00060	-0.18670489	-0.56464493	0.575492	-0.661948	-0.8291883	-0.16633666	0.0510437	0.78904605	0.34224182	-0.13782622	-0.94433975	-0.3539852	0.041767742	-0.4171574	0.46099338	-0.590625	-0.9416562	-0.1577318	-0.20026784	-0.28848866	0.8688554	-0.025708951	-0.72450185	-0.24891278
SYN-00061	0.19223446	-0.42718485	-0.8091257	-0.96634865	0.74550074	0.96014225	-0.44692776	-0.56095886	-0.8984067	-0.80795383	0.79403126	0.9798237	0.058381498	-0.8745262	-0.9521228	-0.71942025	0.16343282	0.94002175	0.53444254	-0.16857179	0.05296369	-0.66360223	0.83456504	0.9592352
SYN-00062	0.12965408	-0.807975	-0.8024969	-0.9545652	0.85987455	0.11227586	0.7269642	-0.30960515	-0.6392554	-0.8848508	0.88870996	-0.21795963	0.5584344	-0.8394084	-0.18645827	-0.912826	0.948101	0.09727281	0.4192458	-0.50282377	-0.43221036	-0.8776121	0.88390774	-0.14583114
SYN-00063	-0.0985199	-0.65091795	0.6877435	-0.6337059	-0.79812914	-0.4596423	-0.15591206	-0.76648223	0.7387742	-0.97071296	-0.42440924	-0.1919306	0.255798	-0.3704994	0.31894296	-0.15468638	-0.31408265	-0.6997871	-0.6799895	-0.5426149	-0.35730502	-0.6392325	0.11659271	-0.4595675
SYN-00064	-0.97902554	0.3237226	0.72516733	0.51663685	0.97718513	0.5058839	-0.95482427	-0.15972765	0.42870006	0.34456638	0.74032485	0.43223837	-0.99058014	0.77955276	0.22953407	0.78790116	0.56390464	0.30414593	-0.97239894	-0.13353153	-0.12428644	0.62110025	0.96245193	0.34456897
SYN-00065	-0.029733252	0.27791527	-0.31284222	0.23968124	-0.4771968	-0.99305284	0.046938524	0.67464656	-0.22366726	0.65973246	-0.0932297	-0.987056	0.5208269	-0.013143821	-0.08707422	0.21972677	-0.5547682	-0.9700057	0.6020677	0.33322674	0.19667341	-0.06102762	-0.46075892	-0.9948164
SYN-00066	0.7128617	-0.81076264	-0.920022	-0.16745211	0.5637218	-0.5668422	-0.16065845	0.43383196	-0.831049	0.5116024	0.80317813	-0.9763374	0.38733128	0.42097235	-0.74521327	0.021676663	0.5149419	-0.8705331	0.3685693	0.28370926	-0.8364338	0.5586977	0.8960123	-0.7271203
SYN-00067																								
SYN-00068																								
SYN-00069	-0.87183386	0.46954256	0.4596375	-0.7696975	0.48076254	-0.16609278	-0.75013155	0.4958795	0.32577255	-0.9314401	0.53266627	0.3566374	-0.8371182	-0.7086508	-0.10994962	-0.963518	0.50464433	0.061670806	-0.5483823	0.6095308	-0.043995094	-0.9291887	0.112981394	-0.34334815
SYN-00070	0.31699178	-0.8495411	0.79569674	0.76748955	0.5402354	0.7856352	-0.6897625	0.08658936	0.6045489	0.8243524	0.32517204	0.75002396	-0.69937605	-0.36036515	0.77719975	0.41338685	-0.15798365	0.7858171	-0.16245732	0.49620667	0.118283525	0.45852682	-0.36051565	0.8608054
SYN-00071	0.4926606	0.21459728	-0.5429175	-0.66669333	-0.7691658	0.87177944	-0.4260373	-0.07775696	0.50424564	0.38888648	-0.6547936	0.88535774	0.56925535	-0.4502035	0.7550748	0.25171104	-0.75820273	0.84773713	-0.17979254	0.51828146	0.17666945	-0.74077296	-0.90975773	0.98478115
SYN-00072	0.61729926	-0.77203774	-0.60465395	-0.5334554	-0.9157201	0.72691935	0.19463536	-0.8126509	-0.82642776	-0.77931696	-0.8575583	-0.54499084	0.6869282	-0.76713926	-0.82384163	-0.8755951	-0.6338398	-0.08690287	0.594325	-0.77420217	-0.9472365	-0.8606607	-0.9390564	0.85232145
SYN-00073	0.8240217	0.5166434	0.8815152	-0.36857173	0.82986414	-0.41000554	0.9363963	0.33014503	0.98091084	-0.7051447	0.0020686635	-0.13599394	0.8051853	0.4263859	0.9627817	-0.7519773	-0.11222259	-0.8018688	0.96158886	0.59472895	0.87125283	0.28121075	0.18615507	-0.6084043
SYN-00074	-0.19303517	0.1447546	0.93448406	0.005291268	-0.73098326	0.009782093	-0.5697495	0.93291277	0.5789705	-0.101377875	0.03585974	0.5053149	-0.45346078	0.5898327	0.574047	0.91819936	-0.5374438	0.8668394	-0.287405	0.0012559883	0.03908254	0.5570669	-0.6863087	0.54924023
SYN-00075	0.8584285	-0.16610551	-0.8931575	0.2156959	-0.027079742	-0.14928596	0.13140363	-0.10747658	-0.8851916	0.38846475	0.2533599	-0.7703555	0.7674531	0.32961527	-0.8930727	0.6542904	0.48693097	-0.7367072	0.32239193	-0.16208358	-0.7196011	0.09329689	0.2879533	-0.35085866
SYN-00076																								
SYN-00077	0.5232128	0.94308436	0.9263578	-0.63412195	0.943518	0.55946654	0.48526284	0.78798246	0.91759473	0.04197954	0.94084305	0.024369998	-0.19062921	0.90237874	0.8813223	-0.55323493	0.72311586	0.70888674	0.717335	0.9727373	0.8820477	-0.28283918	0.9529908	0.8759202
SYN-00078	0.56254154	0.33290356	0.8638822	0.14083314	-0.37667018	-0.9810863	0.79794395	0.7503449	0.56498605	0.54472125	0.02711525	-0.98650056	0.7334118	0.1569014	0.5864071	0.6943698	-0.3784434	-0.9804215	0.7864678	0.014567719	0.43006146	0.57459056	0.490114	-0.977946
SYN-00079	0.8310694	0.9070433	0.8820852	-0.8788174	0.46183947	-0.95388335	0.6560255	0.77120066	0.7362988	-0.68412286	-0.54458445	-0.6996091	0.61831653	0.9871394	0.82406783	0.10788508	-0.1329615	-0.974991	0.7831719	0.21309108	0.51942724	-0.3375648	-0.4089415	-0.9368022
SYN-00080	0.96758205	0.21745752	0.4336531	-0.3476824	-0.99437016	0.6652018	0.89666986	-0.059773725	0.54365754	-0.46115533	-0.9729973	0.83654	0.89123774	0.40501183	0.82297564	-0.768384	-0.99238	0.7328463	0.9605632	0.46080896	0.28034323	-0.43112382	-0.99210274	0.26359966
SYN-00081	0.94396025	0.9829368	-0.07583887	-0.2805182	-0.6366945	-0.77586496	0.9386472	0.90811455	-0.57161236	-0.26474404	-0.25817436	-0.8406751	0.77006584	0.75468534	0.22040291	-0.70441264	-0.19039589	-0.6945298	0.87587214	0.91443837	0.044530574	-0.86825764	-0.36369166	-0.287493
SYN-00082	-0.7512306	0.32842907	0.15566859	-0.024742883	0.5815478	-0.049519263	-0.3354338	0.42683548	-0.5184588	0.4811296	0.5073596	-0.39217404	-0.33580756	0.52373046	0.52260274	-0.4004112	0.5417764	0.021036085	-0.85375124	-0.33732012	0.10274499	-0.57270426	0.46568573	-0.36657664
SYN-00083	0.9873741	-0.41764474	0.86192507	0.67576706	0.30190116	0.62010616	0.9857435	0.07855398	0.65737885	0.86787	0.672512	0.81855506	0.9950608	-0.39959428	0.96503824	0.36170936	-0.13737905	0.13871902	0.98934597	-0.32337782	0.9604135	0.5151189	0.60330534	-0.28533503
SYN-00084	-0.66497296	-0.28988862	-0.3033297	0.6143364	0.45914635	-0.9793737	0.46738818	0.82881045	-0.69796157	-0.055495895	0.9183904	-0.97110003	-0.40459764	-0.033294726	-0.10642219	0.17097591	0.8192313	-0.9725305	0.31672537	0.26825538	-0.73819077	0.21040246	0.27050596	-0.9938407
SYN-00085	-0.93342507	-0.8536575	0.5116988	0.8465969	-0.3474252	0.74013746	-0.8405657	-0.8006393	0.90089697	0.6795967	0.020189412	0.9045792	-0.9724901	-0.8211238	0.8095021	0.07132855	0.1931972	0.98017085	-0.724264	-0.88593626	0.65399057	0.7843001	-0.21235326	0.9824378
SYN-00086	-0.7383409	0.4144331	0.78667146	-0.21358462	0.9199011	0.2807797	0.068616614	0.49328816	0.6264123	-0.4146118	0.7601125	0.022681527	0.17655656	0.6630915	-0.008147158	-0.17226633	0.6782925	-0.63314277	-0.24928142	0.23162071	0.7533311	0.6216805	0.50375134	-0.43764356
SYN-00087																								
SYN-00088																								
SYN-00089	0.24977024	-0.03729314	-0.30844113	0.39585665	0.4119295	-0.718112	-0.41320336	0.40855214	0.23119347	0.21108915	-0.047088742	-0.9240425	-0.2798127	0.35945585	0.11323549	0.3727371	0.62668407	-0.9420937	-0.8334487	0.58867496	0.4290566	0.7600261	0.22135866	-0.954521
SYN-00090	0.90759414	-0.20057632	-0.5047501	0.6368846	-0.287593	-0.6705981	0.7261345	-0.70740616	-0.5346822	0.6873817	-0.5016319	-0.62597376	0.5934326	-0.4369362	0.26402262	0.8662488	-0.7499779	-0.8424575	0.70560575	-0.64524037	-0.6566667	0.5320961	-0.8159252	-0.577797
